Number,exchange,symbolHead,CNname,CRMName,group,Margin,TradeBarTime,TradingTime,PriceLimit1,Margin1,PriceLimit2,Margin2,PriceLimit3,Margin3,ContractSize,PriceMinMove,IfFeeJ,feeOpenJ,feeOpenS,feeCloseTodayJ,feeCloseTodayS,LastTradingDay,30minInterval
23,DCE,Y,豆油,豆油,油脂油料,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,10,2,0,0,5,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
24,DCE,P,棕榈油,棕榈油,油脂油料,0.1,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,2,0,0,5,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
25,DCE,L,聚乙烯,线型低密度聚乙烯,石化煤化,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,5,1,0,0,2,0,2,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
26,DCE,V,PVC,聚氯乙烯,石化煤化,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,5,1,0,0,2,0,2,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
27,DCE,J,焦炭,冶金焦炭,黑色,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,100,0.5,1,0.00012,0,0.00024,0,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
28,DCE,JM,焦煤,焦煤,黑色,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,60,0.5,1,0.00012,0,0.00024,0,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
29,DCE,I,铁矿石,铁矿石,黑色,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.15,0.13,0.17,0.15,0.17,100,0.5,1,0.0002,0,0.0008,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
30,DCE,JD,鸡蛋,鲜鸡蛋,其他,0.09,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,1,1,0.0003,0,0.0003,0,-30,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
31,DCE,FB,纤维板,纤维板,其他,0.1,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.12,0.1,0.12,10,0.5,1,0.0002,0,0.0002,0,-30,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
32,DCE,BB,胶合板,细木工板,其他,0.4,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.4,0.08,0.4,0.1,0.4,500,0.05,1,0.0002,0,0.0001,0,-30,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
33,DCE,PP,聚丙烯,聚丙烯,石化煤化,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,5,1,0,0,2,0,2,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
34,DCE,CS,淀粉,玉米淀粉,稻米谷物,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.13,0.11,0.13,10,1,0,0,3,0,0,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
35,DCE,EG,乙二醇,乙二醇,石化煤化,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,1,0,0,6,0,0,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
36,DCE,RR,粳米,粳米,稻米谷物,0.06,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.12,0.1,0.12,10,1,0,0,2,0,1,-40,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
37,DCE,EB,苯乙烯,苯乙烯,石化煤化,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.15,0.13,0.17,0.15,0.17,5,1,0,0,6,0,6,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
38,DCE,PG,LPG,液化石油气,能源,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,20,1,0,0,12,0,12,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
39,DCE,LH,生猪,生猪,其他,0.15,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.15,0.11,0.15,0.13,0.15,16,5,1,0.0004,0,0.0008,0,-24,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
40,CZCE,CF,棉花,一号棉花,纺织,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,5,0,0,8.6,0,0,-33,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
